M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
2048,2048,4096,0.44673986160036294,164243.0,1189846.0,612970191.5
2048,4096,4096,0.664144193554677,167127.0,1330160.0,673758766.0
2048,4608,4096,0.524880312023963,186236.0,2251623.0,994166353.0
2048,4864,4096,0.3177661447088588,203260.0,3562262.0,1479311225.0
2048,5376,4096,0.3348766522323282,213235.0,3828768.0,1533997608.0
2048,7680,4096,0.601076388984938,226735.0,3063136.0,1101444849.0
2048,7936,4096,0.37847782720376566,239674.0,5244037.5,1883455775.5
2048,8192,4096,0.7720678341100256,228378.0,1618929.0,585340877.0
2048,8448,4096,0.38979896890571397,243960.0,5469517.0,1928585920.0
2048,8704,4096,0.578767938728145,239474.0,3699776.0,1277760106.0
2048,14080,4096,0.4761122236251335,453851.5,7680826.5,2825651666.0
2048,14336,4096,0.47732613818965985,454311.0,7799847.0,2940915258.0
2048,16128,4096,0.4784316072809348,461081.0,8752515.0,3324661458.5
2048,16384,4096,0.47751167428305125,464567.0,8909019.0,3347011190.0
2048,16640,4096,0.4777089416133016,467612.0,9044229.0,3442428408.0
2048,32512,4096,0.4790241759813132,1033290.0,17622743.5,9061660962.0
2048,32768,4096,0.4756050148526072,1004685.0,17881126.0,9275074484.0
2048,33024,4096,0.4817891851474976,1115809.0,17793265.0,12133615123.0
2048,65536,4096,0.47590032142452654,1858206.5,35728520.5,16462397094.0
2048,65792,4096,0.4756500178015901,1877655.5,35900078.5,16359407476.5
2048,66048,4096,0.47893806250883136,1932737.0,35819566.0,17021996270.0
2048,128256,4096,0.4752208987510862,3914265.0,70027674.0,42210289210.0
2048,130816,4096,0.47819374852588414,4063446.0,70964332.0,43754273366.5
2048,131072,4096,0.47491019200025764,3898342.0,71595627.0,41827252641.0
4096,2048,4096,0.6642734281876009,166526.0,1330114.0,670079528.0
4096,4096,4096,0.683406876357472,235828.0,2473696.0,926044834.0
4096,4608,4096,0.6082461610987528,246605.0,3597299.0,1234590648.0
4096,4864,4096,0.397579488165241,261827.0,6207755.0,2086638542.0
4096,5376,4096,0.3983320337720427,448823.0,6850658.0,2341137606.0
4096,7680,4096,0.5727242300801272,451508.0,6637922.5,2402007949.5
4096,7936,4096,0.4034631319677562,466009.0,10011971.0,3555986816.0
4096,8192,4096,0.7638876407910488,445098.0,3397860.5,1253479736.0
4096,8448,4096,0.40801367183478493,468212.0,10566543.0,3757535575.0
4096,8704,4096,0.5160152900662551,463925.5,8683054.0,3108750490.0
4096,14080,4096,0.654538391096881,811379.0,9447217.5,7782937792.0
4096,14336,4096,0.6314826454834707,836395.5,10395240.0,8357473980.5
4096,16128,4096,0.6663530786342897,948401.5,10371981.0,5263735681.5
4096,16384,4096,0.6627094781823928,964806.0,10676386.0,5592599452.0
4096,16640,4096,0.6665030640319627,1051954.0,10694647.5,7636726670.0
4096,32512,4096,0.5733869161424678,1808352.5,28030881.0,11540524119.5
4096,32768,4096,0.6753987054327086,1874290.0,20368471.0,16823542678.0
4096,33024,4096,0.5882673088416485,1833430.0,27325211.0,11218119094.0
4096,65536,4096,0.6686478254568573,3822030.0,41768416.5,32497667188.5
4096,65792,4096,0.6715670024609832,3822248.0,41513525.0,32410870682.0
4096,66048,4096,0.6657739476966121,3828299.0,42636923.0,32532383217.0
4096,128256,4096,0.6726420192493048,7405667.0,80552244.0,59908746328.0
4096,130816,4096,0.6588937678057243,7542229.0,86385875.0,63288467212.0
4096,131072,4096,0.6626961882379504,7442482.0,85363353.0,63226919859.0
4608,2048,4096,0.5249442752978508,187116.0,2251152.0,995969038.0
4608,4096,4096,0.6825800353897167,242398.0,2791337.5,995846878.0
4608,4608,4096,0.59767488117045,440852.0,4175662.0,1444522081.0
4608,4864,4096,0.38132438626669185,449625.0,7191721.0,2490881807.0
4608,5376,4096,0.38358150611593467,454872.0,7915385.0,2765360708.5
4608,7680,4096,0.5137996102780045,461803.0,8664457.0,3128240442.0
4608,7936,4096,0.39870243682419676,474301.0,11361829.0,4031035865.0
4608,8192,4096,0.7716850318067612,454672.0,3653867.0,1301321663.0
4608,8448,4096,0.4080108651410471,491186.0,11886519.5,4110704723.5
4608,8704,4096,0.5096167416509351,688898.0,9915032.0,3274777125.0
4608,14080,4096,0.5706248940118315,935282.5,13747649.0,5439694094.0
4608,14336,4096,0.5725667711032397,931336.0,13923210.0,5581159142.0
4608,16128,4096,0.5939517592146479,966869.0,14750297.0,5771285844.0
4608,16384,4096,0.5746665800437107,979587.5,15819910.5,6225238288.5
4608,16640,4096,0.5897886890674227,984735.0,15401621.5,6095635628.5
4608,32512,4096,0.5617057478913947,1980407.0,32529402.0,14713338440.0
4608,32768,4096,0.5322539917197346,1994168.0,35309876.0,15813081948.5
4608,33024,4096,0.5572698774738709,2009950.5,33428292.5,14847959127.5
4608,65536,4096,0.46613998884248753,4233798.5,82076893.5,34136215501.5
4608,65792,4096,0.4580556047328878,4200409.0,83814008.0,35629102818.0
4608,66048,4096,0.4467087051296851,4208521.0,86164176.0,37078189470.5
4608,128256,4096,0.3618637955639117,8452093.0,195920737.0,76908943769.0
4608,130816,4096,0.3669378934942204,8643098.0,198073085.0,77044961080.0
4608,131072,4096,0.36839623131871907,8646262.0,197962132.0,77217109088.0
4864,2048,4096,0.29808091035854634,205143.0,3675087.5,1550254930.5
4864,4096,4096,0.6837023421428656,247366.0,2933067.0,1015021038.5
4864,4608,4096,0.5815108027449918,440371.0,4615867.5,1632600017.0
4864,4864,4096,0.4085561716484215,451006.5,7220652.5,2503588526.0
4864,5376,4096,0.38962529958421604,457076.0,8263751.5,2893522710.5
4864,7680,4096,0.5476893452097387,468773.0,8418860.0,2947764845.0
4864,7936,4096,0.40540986566500414,487200.0,11844071.0,4100688797.0
4864,8192,4096,0.7736106863800564,471416.0,3812745.0,1357651263.0
4864,8448,4096,0.40368559684474925,693705.0,12649367.5,4265178001.0
4864,8704,4096,0.49415874913520874,702478.0,10840631.0,3675406257.0
4864,14080,4096,0.40220171563206686,960439.0,21128620.5,8148057781.0
4864,14336,4096,0.41200429019751644,966548.5,21120460.0,8051115928.0
4864,16128,4096,0.4345844028916312,1038094.0,22742001.0,8182202246.0
4864,16384,4096,0.4032409354671281,1049471.0,24536094.0,10102605165.0
4864,16640,4096,0.44675070352313134,1207003.5,22899313.0,8557443921.0
4864,32512,4096,0.41556514191895544,2123177.0,47591442.0,19792370720.0
4864,32768,4096,0.376992817789144,2152180.0,51459674.0,20443024035.0
4864,33024,4096,0.4098424271020099,2289745.0,48865332.5,17862215592.5
4864,65536,4096,0.3689226768287339,4487754.0,104395399.0,40867804889.0
4864,65792,4096,0.36669182708202164,4570635.0,105222030.0,42941767520.0
4864,66048,4096,0.36066175181368654,4573119.5,106806293.0,43858489096.0
4864,128256,4096,0.32985829090787133,8973845.5,218297249.5,86290406440.0
4864,130816,4096,0.33892574978593,9164707.0,219327354.0,85488804978.0
4864,131072,4096,0.3379562101329476,9286207.0,220113982.0,85106024832.0
5376,2048,4096,0.4795857448034351,211152.0,2913179.0,1270465409.0
5376,4096,4096,0.6485831714527504,440370.0,3686523.5,1335801162.5
5376,4608,4096,0.5259830132087611,446260.0,5891945.5,2121390786.5
5376,4864,4096,0.37608242025159616,457396.0,8467243.0,2996778808.0
5376,5376,4096,0.37610894234209014,463164.0,9356442.0,3317299984.0
5376,7680,4096,0.5300564482819329,684732.0,9722623.0,3243143034.0
5376,7936,4096,0.40767119305442,698311.0,13034193.5,4379180772.0
5376,8192,4096,0.7544462694903169,675638.0,4698976.0,1684782163.0
5376,8448,4096,0.40717517874409714,712693.0,13887395.5,4786612074.0
5376,8704,4096,0.4965422809309096,711892.0,11918104.0,4188442325.0
5376,14080,4096,0.3911137180154026,1019606.5,23832999.0,8524535295.0
