M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
2048,2048,4096,0.4454291360430963,135441.0,1180416.0,716243519.0
2048,4096,4096,0.6671929788933566,136922.0,1311488.0,785942509.0
2048,4608,4096,0.5254585334151713,138401.0,2228992.0,1360148734.0
2048,4864,4096,0.31399435608004106,139601.0,3539712.0,2309924617.0
2048,5376,4096,0.3317846310968061,139841.0,3801856.0,2650323194.0
2048,7680,4096,0.6042948606837977,141121.0,3015424.0,1861101790.0
2048,7936,4096,0.38622209874083935,149841.0,5112576.0,4270635084.5
2048,8192,4096,0.7780748708364651,142961.0,1573632.0,900204238.5
2048,8448,4096,0.3796653689695251,276203.0,5505792.0,4729598344.0
2048,8704,4096,0.5789960929781959,271003.0,3670789.0,2297490529.0
2048,14080,4096,0.4842720098358071,286643.0,7471872.0,6515201494.0
2048,14336,4096,0.4845526221285229,287242.0,7602944.0,6430665348.0
2048,16128,4096,0.48626772198300344,312522.0,8520448.0,6676225535.0
2048,16384,4096,0.48648111936151683,313563.0,8651539.0,7660199987.0
2048,16640,4096,0.47985741004854127,440583.5,8913664.0,6889741285.0
2048,32512,4096,0.4861882698256528,664845.0,17171220.0,13447879620.5
2048,32768,4096,0.48629380250623255,668486.0,17302381.0,15940213143.0
2048,33024,4096,0.4829552214553936,766486.0,17564553.0,12957815008.0
2048,65536,4096,0.48620020968358457,1386412.0,34604055.0,29134007568.0
2048,65792,4096,0.484218140687778,1479854.0,34889450.0,27007372523.0
2048,66048,4096,0.4845853632486719,1491813.0,34997232.0,29678004600.0
2048,128256,4096,0.4858496153684567,2788024.0,67765582.0,52519217673.0
2048,130816,4096,0.4861207551775798,2825185.5,69077170.5,59621808852.0
2048,131072,4096,0.4861488173870883,2814585.0,69208098.0,57516941312.0
4096,2048,4096,0.6671792887696202,137882.0,1311488.0,781373108.0
4096,4096,4096,0.6948685003487246,144281.0,2360064.0,1576220427.0
4096,4608,4096,0.5807785964975649,272082.0,3867392.0,2333066501.0
4096,4864,4096,0.4538831282902429,276902.5,5505792.0,3391553183.0
4096,5376,4096,0.44241552737651024,277342.5,6226688.0,3839907799.5
4096,7680,4096,0.5966024285791728,292843.0,6161152.0,3588956087.0
4096,7936,4096,0.3857669601043645,310803.0,10224384.0,6617930710.0
4096,8192,4096,0.7779264375527297,296682.5,3146496.0,1730762098.5
4096,8448,4096,0.37922694823116576,443724.0,11010816.0,7714759889.0
4096,8704,4096,0.5604681754653681,436204.0,7706971.0,4422967950.0
4096,14080,4096,0.6900245018290098,608445.0,8258304.0,5206509536.0
4096,14336,4096,0.6905992105686192,612886.0,8389376.0,5263125011.0
4096,16128,4096,0.6941115174241133,644265.5,9306880.0,5602930730.5
4096,16384,4096,0.6945505796976184,644486.0,9437952.0,5738544853.0
4096,16640,4096,0.68814109784486,744727.0,9831168.0,6236888038.0
4096,32512,4096,0.6942792594244087,1330292.5,18744064.0,12667411254.0
4096,32768,4096,0.6944975221909476,1329774.0,18875136.0,13120701345.0
4096,33024,4096,0.6912672419284847,1452853.0,19268390.5,11211862174.0
4096,65536,4096,0.6944709858483988,2695507.0,37749504.0,25430020761.5
4096,65792,4096,0.6925447044669797,2793267.0,38188967.0,24813444116.0
4096,66048,4096,0.6929635883257574,2788946.0,38273794.0,25111196156.0
4096,128256,4096,0.6938481455420871,5448931.0,74056448.0,47468727314.0
4096,130816,4096,0.6944033847028654,5484891.0,75367168.0,48570115449.0
4096,131072,4096,0.6944577157791879,5470191.0,75498240.0,49161055266.5
4608,2048,4096,0.5254499666022783,138441.0,2228992.0,1349370071.5
4608,4096,4096,0.6732457724560992,269123.0,2884352.0,1879862108.0
4608,4608,4096,0.5498925603027043,273322.0,4719360.0,2866425746.0
4608,4864,4096,0.4382323785474883,277843.0,6390528.0,3894077831.0
4608,5376,4096,0.43001415442778945,280083.0,7176960.0,4502220355.0
4608,7680,4096,0.5954253208680707,434484.0,6953972.0,3856410870.5
4608,7936,4096,0.38321761040533775,446724.0,11553756.5,7098507773.0
4608,8192,4096,0.7594039626386667,422123.0,3932928.0,2207917606.0
4608,8448,4096,0.3806736572966595,451764.0,12354304.0,8533893341.0
4608,8704,4096,0.5244145248442891,444484.0,9483421.0,5520883445.0
4608,14080,4096,0.6082587505368428,646846.0,12275235.0,6989569348.0
4608,14336,4096,0.6105858417996223,648646.0,12411806.0,7044407616.0
