M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
2048,2048,4096,0.44866802624916824,139401.0,1196703.0,726953718.0
2048,4096,4096,0.6659009553283977,141401.0,1343979.0,808852284.5
2048,4608,4096,0.5270930979186444,143082.0,2265233.0,1368987491.0
2048,4864,4096,0.3198471408181795,144162.0,3577970.0,2464089456.0
2048,5376,4096,0.33698780730689126,144321.0,3844133.0,2926765535.5
2048,7680,4096,0.6039754793085321,150922.0,3075854.0,1891994088.5
2048,7936,4096,0.390009240520764,160921.0,5174948.0,4265468898.0
2048,8192,4096,0.7745502782585265,151002.0,1638430.0,927559568.0
2048,8448,4096,0.38358650079941503,289763.5,5571992.0,4531371488.0
2048,8704,4096,0.5790274470231687,284043.0,3740614.5,2229176558.0
2048,14080,4096,0.4299030902938784,311724.0,8513200.0,6079001615.0
2048,14336,4096,0.7588845729568667,291803.0,3124982.0,1773186271.5
2048,16128,4096,0.442025709324638,325143.5,9516249.5,6554420693.0
2048,16384,4096,0.7743259309989861,304483.5,3270632.0,1812816939.5
2048,16640,4096,0.43817122107224293,455186.0,9893018.5,6519484339.0
2048,32512,4096,0.4690285833066526,728528.0,18138126.0,17513654207.0
2048,32768,4096,0.6885398284795244,707928.0,9825419.0,11043523834.0
2048,33024,4096,0.4660296489051955,830289.0,18538616.0,17050234020.0
2048,65536,4096,0.48758619815984083,1634219.0,35097623.0,45756350344.0
2048,65792,4096,0.480168626664054,1763820.0,35849636.0,62026013582.5
2048,66048,4096,0.47676099156956725,1754020.0,36232012.0,58878117591.5
2048,128256,4096,0.48115114142737037,3309318.5,69708419.5,72717277713.0
2048,130816,4096,0.4843991084529473,3336258.0,70597863.0,74077720242.5
2048,131072,4096,0.4870897455762394,3333918.0,70209112.5,80773273013.0
4096,2048,4096,0.4757910372048996,143001.0,2261426.0,1446242945.0
4096,4096,4096,0.6930496810813853,155521.0,2424889.0,1418192804.0
4096,4608,4096,0.5809815393540516,286043.0,3939445.0,2305882224.5
4096,4864,4096,0.45637609907342375,289443.0,5581590.0,3497209773.0
4096,5376,4096,0.4451844562187994,292483.0,6310045.0,3949421169.0
4096,7680,4096,0.5944324173039405,304523.0,6314441.5,3652038813.0
4096,7936,4096,0.3895093326880972,323363.5,10345824.0,6984178465.0
4096,8192,4096,0.7743221365227271,306724.0,3270415.0,1784667494.5
4096,8448,4096,0.3828374231010568,460505.5,11143559.5,7724718684.0
4096,8704,4096,0.5645050021878917,451125.0,7766953.0,4398411668.0
4096,14080,4096,0.4290891004977553,642626.0,17037980.5,11075882065.5
4096,14336,4096,0.7546855844458561,613527.0,6383611.0,3766725629.0
4096,16128,4096,0.43616915301311987,677328.0,19244103.0,11798950988.0
