M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
2048,2048,4096,0.458964182254699,79441.0,609954.0,361562199.0
2048,4096,4096,0.6495399188830683,81360.0,694697.0,406815916.0
2048,4608,4096,0.5276056927652474,82521.0,1158458.0,697907264.0
2048,4864,4096,0.34569063308505327,83520.0,1816236.0,1221498870.0
2048,5376,4096,0.360992147624112,85121.0,1952135.0,1347556760.5
2048,7680,4096,0.5953724158969269,85881.0,1580659.0,976157745.0
2048,7936,4096,0.4077353602346527,90240.0,2631656.0,2106003814.0
2048,8192,4096,0.7448527495913682,85401.0,864391.0,487801569.5
2048,8448,4096,0.4020913458079196,161921.0,2832898.0,2235048829.0
2048,8704,4096,0.5736626426378414,158881.0,1917759.5,1175442715.0
2048,14080,4096,0.44300405297723255,171841.0,4326999.0,3070487949.0
2048,14336,4096,0.7309880902395393,166041.0,1642143.0,926270891.0
2048,16128,4096,0.45395622844942374,182041.0,4837476.0,3217217778.0
2048,16384,4096,0.7444759298765502,169321.0,1726105.0,954326877.0
2048,16640,4096,0.449641637482138,254482.0,5038382.0,3302710989.0
2048,32512,4096,0.4754283368628454,366483.0,9254886.0,5982438427.0
2048,32768,4096,0.6623031814731332,361722.0,5233710.0,3191264635.0
2048,33024,4096,0.47319390550361096,437484.0,9449202.0,6649757045.0
2048,65536,4096,0.4912609091352218,851307.0,17933639.0,27189024856.5
2048,65792,4096,0.4847448883401839,896287.0,18322212.0,24379065431.5
2048,66048,4096,0.48209576133063137,927328.0,18490922.0,32100717926.0
2048,128256,4096,0.483637231110153,1734056.0,35806748.0,40824074827.0
2048,130816,4096,0.48566554641877113,1746575.0,36325546.0,43048338116.0
2048,131072,4096,0.4899095963255199,1738696.0,35999379.0,42373677704.0
4096,2048,4096,0.48250334019076124,81721.0,1153572.0,732482660.5
4096,4096,4096,0.6732579686195009,86960.0,1257637.0,753818364.0
4096,4608,4096,0.5750513463709781,160081.0,2020886.0,1198652401.0
4096,4864,4096,0.4658126213800742,163922.0,2844783.0,1782394900.0
4096,5376,4096,0.45587881894269855,165681.0,3214774.0,2017559008.5
4096,7680,4096,0.5884731225045536,171301.5,3224097.0,1891069618.5
4096,7936,4096,0.4069275543224693,181162.0,5260881.0,3528152233.0
4096,8192,4096,0.7444703980809995,169802.0,1725852.0,955257800.0
4096,8448,4096,0.4012646027081828,255363.0,5663377.0,3738819724.0
4096,8704,4096,0.5772548846600363,251083.0,3784007.0,2150052793.0
4096,14080,4096,0.44169945266506905,355163.0,8668344.0,5347997124.0
4096,14336,4096,0.7273578782931316,355083.0,3347338.0,1779308036.5
4096,16128,4096,0.4489427965364181,368084.0,9771429.0,6069797702.0
4096,16384,4096,0.7441209666605242,361364.0,3453224.0,1904737706.5
4096,16640,4096,0.4476982467721439,440884.0,10107873.0,6185114418.0
4096,32512,4096,0.4710964727147433,739287.0,18690775.5,11023961927.5
4096,32768,4096,0.6543530813295044,722008.0,10805368.0,6583882361.0
4096,33024,4096,0.46968937107600683,801328.0,19045381.0,12223477072.5
4096,65536,4096,0.49172303912636117,1786056.5,35808289.0,65931851240.5
4096,65792,4096,0.4799122092010802,1771536.0,37059341.0,43250956244.0
4096,66048,4096,0.4813253932040437,1854777.5,37044128.0,60945602181.0
4096,128256,4096,0.4819298512662223,3539595.0,71900788.0,78082598922.0
4096,130816,4096,0.4826065480984441,3584115.0,73187433.0,78627873996.0
4096,131072,4096,0.4888897792605199,3579554.0,72179813.0,80404370382.0
4608,2048,4096,0.48516210266955334,81841.0,1289462.0,849411630.0
4608,4096,4096,0.654574024211946,156761.0,1529117.0,917931735.0
4608,4608,4096,0.5484225338933336,161442.0,2457427.0,1463668536.5
4608,4864,4096,0.45227170053447924,166241.0,3298269.0,2050762288.0
4608,5376,4096,0.4451450386843065,168761.0,3702310.0,2288073040.0
4608,7680,4096,0.5891310682591879,250122.0,3618523.0,2047225069.0
4608,7936,4096,0.40682728178064087,258482.0,5918250.0,3813185930.0
4608,8192,4096,0.7284917158614834,241242.0,2138039.0,1201376814.0
4608,8448,4096,0.4024132132387105,261163.0,6354677.0,4172590373.0
4608,8704,4096,0.5592188077076453,255963.0,4492221.0,2569164951.5
4608,14080,4096,0.4425639970418432,366883.0,9733214.0,5904807451.0
4608,14336,4096,0.7391204059201432,364724.0,3511461.0,1876397531.0
4608,16128,4096,0.4469457662430135,449564.0,11038127.0,7091245611.0
4608,16384,4096,0.7334921017738022,441684.0,4145818.0,2453505946.0
4608,16640,4096,0.4485876578174757,452365.0,11347486.5,7145022339.0
4608,32512,4096,0.47078882110697384,829367.0,21041371.5,12493843005.5
